"Ссылка","ПометкаУдаления","Родитель","ЭтоГруппа","Код","Наименование","Артикул","Поставщик","ФайлКартинки","Вид","Штрихкод","ВТ_Вес"
"e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8cfecc6a7df2","False","e1cib/data/Справочник.Товары?ref=a9b000055d49b45e11db8c51bbb079ae","False","000000024","Кроссовки","Kros001","e1cib/data/Справочник.Контрагенты?ref=a9c500055d49b45e11dbf348086715b0","e1cib/data/Справочник.ХранимыеФайлы?ref=8ca1000d8843cd1b11dc8e99ff9cc9d9","Enum.ВидыТоваров.Товар","",""
"e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8cfecc6a7df3","False","e1cib/data/Справочник.Товары?ref=a9b000055d49b45e11db8c51bbb079ae","False","000000025","Пинетки","Pin23","e1cib/data/Справочник.Контрагенты?ref=a9b000055d49b45e11db8e8bd1cb82a7","e1cib/data/Справочник.ХранимыеФайлы?ref=8ca1000d8843cd1b11dc8eb43bdcf26d","Enum.ВидыТоваров.Товар","",""
"e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8cfecc6a7df4","False","e1cib/data/Справочник.Товары?ref=a100005056c0000811e3f7c0ef680671","False","000000026","Молоко","Mol34","e1cib/data/Справочник.Контрагенты?ref=a9bd00055d49b45e11dbd7c695f19911","","Enum.ВидыТоваров.Товар","",""
"e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8cfecc6a7df5","False","e1cib/data/Справочник.Товары?ref=a100005056c0000811e3f7c0ef680671","False","000000027","Ряженка","R45","e1cib/data/Справочник.Контрагенты?ref=a9bd00055d49b45e11dbd7c695f19911","","Enum.ВидыТоваров.Товар","",""
"e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8cfecc6a7df6","False","e1cib/data/Справочник.Товары?ref=a9b200055d49b45e11db97442336eb55","False","000000028","Veko345MO","VEKO00001","e1cib/data/Справочник.Контрагенты?ref=a9d700179a069b1011dc44ecea1d4f5b","e1cib/data/Справочник.ХранимыеФайлы?ref=8ca1000d8843cd1b11dc8ec1ffbf44d5","Enum.ВидыТоваров.Товар","",""
"e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","False","e1cib/data/Справочник.Товары?ref=a9b200055d49b45e11db967987f1c226","False","000000029","Хлеб","H987","e1cib/data/Справочник.Контрагенты?ref=8ca0000d8843cd1b11dc8d043d710076","","Enum.ВидыТоваров.Товар","",""
"e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","False","e1cib/data/Справочник.Товары?ref=a9b200055d49b45e11db967987f1c226","False","000000030","Колбаса","Kol67","e1cib/data/Справочник.Контрагенты?ref=a9bd00055d49b45e11dbd7c695f19911","","Enum.ВидыТоваров.Товар","",""
"e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eacd471d6c7","False","e1cib/data/Справочник.Товары?ref=a9b000055d49b45e11db8c51bbb079ae","False","000000031","Босоножки","Bos0009","e1cib/data/Справочник.Контрагенты?ref=a9b000055d49b45e11db8e8bd1cb82a7","e1cib/data/Справочник.ХранимыеФайлы?ref=8ca1000d8843cd1b11dc8eacd471d6cd","Enum.ВидыТоваров.Товар","",""
"e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","False","e1cib/data/Справочник.Товары?ref=a9b200055d49b45e11db967987f1c226","False","000000032","Торт ","Т78","e1cib/data/Справочник.Контрагенты?ref=8ca0000d8843cd1b11dc8d043d710076","e1cib/data/Справочник.ХранимыеФайлы?ref=8ca1000d8843cd1b11dc8eb43bdcf26e","Enum.ВидыТоваров.Товар","",""
"e1cib/data/Справочник.Товары?ref=8ca2000d8843cd1b11dc91039d7fd10b","False","e1cib/data/Справочник.Товары?ref=a9b200055d49b45e11db97442336eb53","False","000000033","VekoNT02","NT02","e1cib/data/Справочник.Контрагенты?ref=a9d700179a069b1011dc44ecea1d4f5b","e1cib/data/Справочник.ХранимыеФайлы?ref=8ca2000d8843cd1b11dc91090c861da5","Enum.ВидыТоваров.Товар","",""
"e1cib/data/Справочник.Товары?ref=8ca2000d8843cd1b11dc910e5100d880","False","e1cib/data/Справочник.Товары?ref=a9b200055d49b45e11db97442336eb55","False","000000034","Veko876N","876N","e1cib/data/Справочник.Контрагенты?ref=a9d700179a069b1011dc44ecea1d4f5b","e1cib/data/Справочник.ХранимыеФайлы?ref=8ca2000d8843cd1b11dc9110bafbeebf","Enum.ВидыТоваров.Товар","",""
"e1cib/data/Справочник.Товары?ref=8ca2000d8843cd1b11dc9111f169782e","False","e1cib/data/Справочник.Товары?ref=a100005056c0000811e3f7c0ef680671","False","000000035","Йогурт","S564","","","Enum.ВидыТоваров.Товар","","5"
"e1cib/data/Справочник.Товары?ref=8d3a000d8843cd1b11dd321ba7a30aae","False","","True","000000036","Услуги","","","","","",""
"e1cib/data/Справочник.Товары?ref=8d3a000d8843cd1b11dd321ba7a30aaf","False","e1cib/data/Справочник.Товары?ref=8d3a000d8843cd1b11dd321ba7a30aae","False","000000037","Доставка","","","","Enum.ВидыТоваров.Услуга","",""
"e1cib/data/Справочник.Товары?ref=8d3a000d8843cd1b11dd321ba7a30ab2","False","e1cib/data/Справочник.Товары?ref=8d3a000d8843cd1b11dd321ba7a30aae","False","000000038","Ремонт","","","","Enum.ВидыТоваров.Услуга","",""
"e1cib/data/Справочник.Товары?ref=8d40000d8843cd1b11dd3de2bb0c7536","False","e1cib/data/Справочник.Товары?ref=a9b200055d49b45e11db9743e844ecac","True","000000039","Телевизоры","","","","","",""
"e1cib/data/Справочник.Товары?ref=8d40000d8843cd1b11dd3de2bb0c7537","False","e1cib/data/Справочник.Товары?ref=8d40000d8843cd1b11dd3de2bb0c7536","False","000000040","Sony К3456P","Н657","e1cib/data/Справочник.Контрагенты?ref=a9d700179a069b1011dc44ecea1d4f5b","","Enum.ВидыТоваров.Товар","8593539095330",""
"e1cib/data/Справочник.Товары?ref=a9b000055d49b45e11db8c51bbb079ae","False","","True","000000001","Обувь","","","","","",""
"e1cib/data/Справочник.Товары?ref=a9b000055d49b45e11db8c51bbb079af","False","e1cib/data/Справочник.Товары?ref=a9b000055d49b45e11db8c51bbb079ae","False","000000002","Сапоги","ОБ-001","e1cib/data/Справочник.Контрагенты?ref=a9b000055d49b45e11db8e8bd1cb82a7","e1cib/data/Справочник.ХранимыеФайлы?ref=a9d700179a069b1011dc3e85df74aa1b","Enum.ВидыТоваров.Товар","",""
"e1cib/data/Справочник.Товары?ref=a9b000055d49b45e11db8e8bd1cb82af","False","e1cib/data/Справочник.Товары?ref=a9b000055d49b45e11db8c51bbb079ae","False","000000003","Туфли","ОБ-002","e1cib/data/Справочник.Контрагенты?ref=a9c500055d49b45e11dbf348086715b0","e1cib/data/Справочник.ХранимыеФайлы?ref=a9d700179a069b1011dc3e85df74aa1d","Enum.ВидыТоваров.Товар","",""
"e1cib/data/Справочник.Товары?ref=a9b000055d49b45e11db8f55075b7a52","False","e1cib/data/Справочник.Товары?ref=a100005056c0000811e3f7c0ef680671","False","000000004","Сметана","ПРД-0001","e1cib/data/Справочник.Контрагенты?ref=a9bd00055d49b45e11dbd7c695f19911","","Enum.ВидыТоваров.Товар","4601546030436",""
"e1cib/data/Справочник.Товары?ref=a9b000055d49b45e11db90e17cd1a8f0","False","e1cib/data/Справочник.Товары?ref=a9b000055d49b45e11db8c51bbb079ae","False","000000005","Тапочки","ОБ-008","e1cib/data/Справочник.Контрагенты?ref=a9c500055d49b45e11dbf348086715b0","e1cib/data/Справочник.ХранимыеФайлы?ref=a9d700179a069b1011dc3e85df74aa1c","Enum.ВидыТоваров.Товар","",""
"e1cib/data/Справочник.Товары?ref=a9b000055d49b45e11db90eb5198ae43","False","e1cib/data/Справочник.Товары?ref=a9b000055d49b45e11db8c51bbb079ae","False","000000006","Ботинки","ОБ-003","e1cib/data/Справочник.Контрагенты?ref=a9b000055d49b45e11db8c4c9d5c4235","e1cib/data/Справочник.ХранимыеФайлы?ref=a9d700179a069b1011dc3e85df74aa18","Enum.ВидыТоваров.Товар","",""
"e1cib/data/Справочник.Товары?ref=a9b200055d49b45e11db966b094c0e4a","False","e1cib/data/Справочник.Товары?ref=a9b000055d49b45e11db8c51bbb079ae","False","000000007","Сланцы","ОБ-00055","e1cib/data/Справочник.Контрагенты?ref=a9b000055d49b45e11db8c4c9d5c4235","e1cib/data/Справочник.ХранимыеФайлы?ref=a9d700179a069b1011dc3e85df74aa1a","Enum.ВидыТоваров.Товар","",""
"e1cib/data/Справочник.Товары?ref=a9b200055d49b45e11db967987f1c226","False","","True","000000011","Продукты","","","","","",""
"e1cib/data/Справочник.Товары?ref=a9b200055d49b45e11db9743e844ecac","False","","True","000000012","Электротовары","","","","","",""
"e1cib/data/Справочник.Товары?ref=a9b200055d49b45e11db97442336eb53","False","e1cib/data/Справочник.Товары?ref=a9b200055d49b45e11db9743e844ecac","True","000000013","Чайники","","","","","",""
"e1cib/data/Справочник.Товары?ref=a9b200055d49b45e11db97442336eb55","False","e1cib/data/Справочник.Товары?ref=a9b200055d49b45e11db9743e844ecac","True","000000014","Пылесосы","","","","","",""
"e1cib/data/Справочник.Товары?ref=a9b200055d49b45e11db97442336eb57","False","e1cib/data/Справочник.Товары?ref=a9b200055d49b45e11db97442336eb55","False","000000015","Вихрь","ПС-0001","e1cib/data/Справочник.Контрагенты?ref=a9d700179a069b1011dc44ecea1d4f5b","","Enum.ВидыТоваров.Товар","",""
"e1cib/data/Справочник.Товары?ref=a9b200055d49b45e11db97442336eb59","False","e1cib/data/Справочник.Товары?ref=a9b200055d49b45e11db97442336eb55","False","000000016","Тайфун-12","ПС-0002","e1cib/data/Справочник.Контрагенты?ref=a9d700179a069b1011dc44ecea1d4f5b","","Enum.ВидыТоваров.Товар","",""
"e1cib/data/Справочник.Товары?ref=a9b200055d49b45e11db9744d21cfa17","False","e1cib/data/Справочник.Товары?ref=a9b200055d49b45e11db97442336eb53","False","000000017","Bosch1234","Ч-0001","e1cib/data/Справочник.Контрагенты?ref=a9d700179a069b1011dc44ecea1d4f5b","","Enum.ВидыТоваров.Товар","",""
"e1cib/data/Справочник.Товары?ref=a9b200055d49b45e11db9744d21cfa19","False","e1cib/data/Справочник.Товары?ref=a9b200055d49b45e11db97442336eb53","False","000000018","Bosch15","Ч-0002","e1cib/data/Справочник.Контрагенты?ref=a9d700179a069b1011dc44ecea1d4f5b","","Enum.ВидыТоваров.Товар","",""
"e1cib/data/Справочник.Товары?ref=a9b200055d49b45e11db9b1315c596e3","False","e1cib/data/Справочник.Товары?ref=a9b000055d49b45e11db8c51bbb079ae","False","000000020","Валенки","ОБ-00100","e1cib/data/Справочник.Контрагенты?ref=a9b000055d49b45e11db8e8bd1cb82a7","e1cib/data/Справочник.ХранимыеФайлы?ref=8ca1000d8843cd1b11dc8eacd471d6ce","Enum.ВидыТоваров.Товар","",""
"e1cib/data/Справочник.Товары?ref=a9bc00055d49b45e11dbc8caefc3ed8f","False","e1cib/data/Справочник.Товары?ref=a100005056c0000811e3f7c0ef680671","False","000000021","Масло","ПРД-0002","e1cib/data/Справочник.Контрагенты?ref=a9bd00055d49b45e11dbd7c695f19911","","Enum.ВидыТоваров.Товар","",""
"e1cib/data/Справочник.Товары?ref=a9c500055d49b45e11dbf348086715b1","False","e1cib/data/Справочник.Товары?ref=a9b200055d49b45e11db97442336eb53","False","000000022","Veko67NE","Ч-0003","e1cib/data/Справочник.Контрагенты?ref=a9d700179a069b1011dc44ecea1d4f5b","","Enum.ВидыТоваров.Товар","",""
"e1cib/data/Справочник.Товары?ref=a100005056c0000811e3f7c0ef680671","False","e1cib/data/Справочник.Товары?ref=a9b200055d49b45e11db967987f1c226","True","000000099","Молочные","","","","","",""
